"","K2_F","K2_P","K3_F","K3_P","K4_F","K4_P"
"Aegypti",2.84914079808473,0.102150599261864,0.238000543550275,0.629322126476377,0.383331108661918,0.540659620871267
"Ndvi_terra",1.15924710546286,0.290497420143012,0.0221836872183809,0.882630408836274,0.000281096594115758,0.986738164743803
"Ndvi_aqua",0.523138571188972,0.475299731852143,0.316584790382046,0.57799149906554,0.210267738498581,0.649975726006834
"Tmean",5.54713580068039,0.0254888551795207,4.00427715617671,0.0548220144448238,3.90144283064117,0.057831526330361
"PerUrban",0.282213601940361,0.599299711301683,0.374657942692596,0.545245825641332,0.423166352722921,0.52048223255498
"Wpop2015",0.129266732290703,0.721798478403682,0.041274861598196,0.840427078246669,0.00804379742376993,0.929152337741211
"MeanGCP_2005USD",1.49664079868797,0.231036929822395,1.45843383056012,0.236936723572912,1.07429082171893,0.308544063990728
"R0",3.14965168795764,0.0864423337951468,0.384240148351421,0.540183124886877,1.0029156818306,0.32488947888254
