"","K2_F","K2_P","K3_F","K3_P","K4_F","K4_P"
"Aegypti",19.7644617100195,9.94362982533568e-06,0.00874920813177519,0.925499261924983,0.861927817825319,0.353468378162357
"Ndvi_terra",13.3036057764024,0.00028133967039247,1.07183648489722,0.300831087474904,0.0456442724322445,0.830875963893348
"Ndvi_aqua",12.9063852306037,0.000346642977660569,1.13985406652245,0.285992104024821,0.0716962080189336,0.788949131771046
"Tmean",32.8874881005187,1.36513261212189e-08,0.137024190206938,0.711351461342058,1.72742427293987,0.189101523702767
"PerUrban",29.5933726646412,7.00604734528404e-08,7.85484445018715,0.00518601420140623,0.0293189822078577,0.864086131044343
"Wpop2015",10.2264489637495,0.00143662907717431,1.74036502264135,0.187454651973644,0.496953269751767,0.481038716531357
"MeanGCP_2005USD",8.27483789139644,0.0041223387426165,1.98545220396765,0.159189934909373,1.57133503466142,0.210364522886833
"R0",16.0797459952354,6.61756986563094e-05,0.0559753432881836,0.813032129701354,1.69841968685618,0.192854445706258
